City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ayan,56.45,138.1667,-25.13,86,43,2.4,RU,1676232584
1,shingu,33.7333,135.9833,10.34,92,100,0.94,JP,1676232585
2,deputatskiy,69.3,139.9,-39.3,100,93,0.98,RU,1676232585
3,kavaratti,10.5669,72.642,26.63,73,0,4.13,IN,1676232586
4,shelburne,44.0787,-80.2041,0.23,96,44,2.56,CA,1676232587
5,morondava,-20.2833,44.2833,26.85,81,100,5.96,MG,1676232587
6,farmington,36.7281,-108.2187,12.38,28,0,2.06,US,1676232535
7,bathsheba,13.2167,-59.5167,28.34,47,20,10.8,BB,1676232588
8,mudgee,-32.5943,149.5871,17.1,86,52,2.41,AU,1676232589
9,ambilobe,-13.2,49.05,23.35,93,96,0.71,MG,1676232589
10,mataura,-46.1927,168.8643,14.03,87,49,0.47,NZ,1676232557
11,bluff,-46.6,168.3333,13.92,89,88,2.81,NZ,1676232462
12,busselton,-33.65,115.3333,14.26,80,0,4.61,AU,1676232537
13,olafsvik,64.8945,-23.7142,4.13,96,100,10.64,IS,1676232590
14,jamestown,42.097,-79.2353,9.8,18,0,2.06,US,1676232258
15,jiayuguan,39.8167,98.3,-5.66,61,100,1.11,CN,1676232591
16,east london,-33.0153,27.9116,23.84,85,13,5.52,ZA,1676232464
17,mersing,2.4312,103.8405,24.52,89,100,2.27,MY,1676232592
18,airai,-8.9266,125.4092,15.13,95,99,1.3,TL,1676232520
19,santa elena,-2.2333,-80.85,27.75,78,75,5.14,EC,1676232593
20,gewane,10.1664,40.6453,25.11,43,0,4.18,ET,1676232593
21,albany,42.6001,-73.9662,8.46,41,99,1.32,US,1676232543
22,hilo,19.7297,-155.09,20.53,94,100,4.63,US,1676232281
23,hofn,64.2539,-15.2082,2.52,94,100,4.41,IS,1676232594
24,chuy,-33.6971,-53.4616,31.27,42,0,6.87,UY,1676232530
25,thompson,55.7435,-97.8558,-10.91,85,100,3.6,CA,1676232595
26,vaini,-21.2,-175.2,26.27,87,100,7.1,TO,1676232499
27,isangel,-19.55,169.2667,22.86,92,100,1.07,VU,1676232597
28,micheweni,-4.9667,39.8333,26.85,75,99,7.2,TZ,1676232598
29,vila franca do campo,37.7167,-25.4333,15.23,86,78,3.44,PT,1676232598
30,rikitea,-23.1203,-134.9692,25.75,68,47,1.32,PF,1676232358
31,atuona,-9.8,-139.0333,26.05,75,2,7.85,PF,1676232600
32,fort nelson,58.8053,-122.7002,-3.36,72,100,0.45,CA,1676232594
33,koulikoro,14.0,-7.75,29.38,9,100,4.07,ML,1676232601
34,tuatapere,-46.1333,167.6833,14.67,81,63,0.57,NZ,1676232602
35,ilulissat,69.2167,-51.1,-23.99,53,0,1.03,GL,1676232453
36,consett,54.854,-1.8316,5.14,80,0,1.47,GB,1676232602
37,coquimbo,-29.9533,-71.3436,21.85,68,0,5.66,CL,1676232604
38,hithadhoo,-0.6,73.0833,27.02,67,2,4.92,MV,1676232474
39,port-gentil,-0.7193,8.7815,28.98,84,40,3.09,GA,1676232605
40,lebu,-37.6167,-73.65,18.65,69,56,4.46,CL,1676232606
41,castro,-24.7911,-50.0119,22.57,85,63,0.22,BR,1676232425
42,hermanus,-34.4187,19.2345,20.45,74,68,2.73,ZA,1676232496
43,naze,28.3667,129.4833,20.0,85,31,8.42,JP,1676232541
44,moussoro,13.6408,16.4901,24.75,14,3,6.65,TD,1676232607
45,imbituba,-28.24,-48.6703,26.84,70,0,4.08,BR,1676232608
46,hamilton,39.1834,-84.5333,13.51,21,0,5.14,US,1676232608
47,lanipao,7.9553,123.7767,23.03,91,97,0.93,PH,1676232609
48,jerantut,3.936,102.3626,22.29,98,98,0.65,MY,1676232609
49,puerto ayora,-0.7393,-90.3518,30.98,84,95,3.13,EC,1676232555
50,provideniya,64.3833,-173.3,-28.52,92,91,3.04,RU,1676232538
51,djibo,14.1022,-1.6306,28.32,12,0,4.86,BF,1676232610
52,cape town,-33.9258,18.4232,21.73,83,20,7.2,ZA,1676232300
53,bredasdorp,-34.5322,20.0403,23.83,61,81,2.77,ZA,1676232547
54,ushuaia,-54.8,-68.3,10.79,58,100,2.2,AR,1676232537
55,anadyr,64.75,177.4833,-33.72,75,20,4.0,RU,1676232394
56,berezovyy,51.6667,135.7,-23.17,94,96,1.76,RU,1676232612
57,arraial do cabo,-22.9661,-42.0278,26.92,83,75,3.09,BR,1676232445
58,champerico,14.3,-91.9167,29.04,60,0,4.95,GT,1676232543
59,laguna,38.421,-121.4238,20.05,48,0,5.14,US,1676232613
60,la ronge,55.1001,-105.2842,-0.46,86,91,4.96,CA,1676232613
61,san patricio,28.017,-97.5169,19.53,34,100,3.41,US,1676232562
62,taltal,-25.4,-70.4833,23.44,72,9,2.3,CL,1676232614
63,dikson,73.5069,80.5464,-11.06,92,100,9.19,RU,1676232615
64,cidreira,-30.1811,-50.2056,26.58,70,0,5.76,BR,1676232234
65,yeppoon,-23.1333,150.7333,24.88,88,0,1.06,AU,1676232616
66,upernavik,72.7868,-56.1549,-25.6,93,100,2.91,GL,1676232482
67,hobart,-42.8794,147.3294,11.7,74,75,3.6,AU,1676232539
68,camana,-16.6228,-72.7111,25.61,75,40,3.35,PE,1676232618
69,vostok,46.4856,135.8833,-19.16,99,100,1.88,RU,1676232618
70,nikolskoye,59.7035,30.7861,1.0,95,100,5.4,RU,1676232559
71,saskylakh,71.9167,114.0833,-38.83,98,49,4.13,RU,1676232497
72,hope,33.6671,-93.5916,18.03,50,88,3.01,US,1676232619
73,cayenne,4.9333,-52.3333,27.02,83,100,4.63,GF,1676232427
74,barrow,71.2906,-156.7887,-27.99,76,0,5.66,US,1676232431
75,kodiak,57.79,-152.4072,-6.27,63,100,8.75,US,1676232528
76,pevek,69.7008,170.3133,-30.13,94,100,0.9,RU,1676232452
77,chicama,-7.8447,-79.1469,26.3,67,100,3.36,PE,1676232458
78,esperance,-33.8667,121.9,14.99,80,0,4.48,AU,1676232621
79,tasiilaq,65.6145,-37.6368,-5.91,71,100,4.48,GL,1676232622
80,new norfolk,-42.7826,147.0587,11.51,66,2,1.28,AU,1676232536
81,rapid city,44.0805,-103.231,12.29,26,0,9.26,US,1676232457
82,codrington,-38.2667,141.9667,15.07,58,99,4.83,AU,1676232623
83,arawa,-6.2132,155.5367,25.17,89,100,1.0,PG,1676232624
84,butaritari,3.0707,172.7902,26.23,84,91,5.52,KI,1676232371
85,sabalgarh,26.25,77.4,13.63,26,0,3.5,IN,1676232624
86,dunedin,-45.8742,170.5036,16.56,75,98,0.89,NZ,1676232613
87,sorland,67.667,12.6934,4.92,73,96,19.93,NO,1676232420
88,grindavik,63.8424,-22.4338,8.97,100,75,15.95,IS,1676232626
89,two hills,53.7169,-111.7518,-0.04,87,100,2.78,CA,1676232626
90,suzhou,31.3114,120.6181,7.29,91,100,5.61,CN,1676232627
91,victoria,22.2855,114.1577,22.19,94,51,4.47,HK,1676232415
92,bereda,43.2686,-7.5406,3.73,77,96,0.46,ES,1676232627
93,geraldton,-28.7667,114.6,18.23,82,0,2.06,AU,1676232528
94,tuktoyaktuk,69.4541,-133.0374,-35.33,100,21,1.54,CA,1676232628
95,reconquista,-29.15,-59.65,40.9,15,0,5.51,AR,1676232629
96,nantucket,41.2835,-70.0995,7.08,75,0,2.57,US,1676232530
97,akyab,20.15,92.9,20.38,77,2,4.06,MM,1676232630
98,khatanga,71.9667,102.5,-16.06,97,100,2.65,RU,1676232451
99,amapa,1.0,-52.0,26.82,86,77,1.88,BR,1676232631
100,ishigaki,24.3448,124.1572,22.07,100,100,2.06,JP,1676232631
101,wenling,28.3669,121.36,13.14,98,100,3.57,CN,1676232433
102,turukhansk,65.8167,87.9833,-14.79,95,100,8.17,RU,1676232632
103,shimoda,34.6667,138.95,10.61,86,100,4.14,JP,1676232633
104,lotofaga,-13.9764,-171.8578,27.66,74,100,6.06,WS,1676232633
105,punta arenas,-53.15,-70.9167,12.06,50,40,9.77,CL,1676232545
106,mar del plata,-38.0023,-57.5575,25.01,83,75,3.09,AR,1676232547
107,tiksi,71.6872,128.8694,-41.54,100,71,1.51,RU,1676232634
108,clyde river,70.4692,-68.5914,-31.52,98,95,1.4,CA,1676232635
109,chandvad,20.3333,74.25,18.22,29,2,2.74,IN,1676232635
110,mitu,1.1983,-70.1733,27.32,84,79,0.73,CO,1676232636
111,kruisfontein,-34.0033,24.7314,22.16,84,78,3.13,ZA,1676232539
112,teya,60.3778,92.6267,-27.71,100,72,1.65,RU,1676232637
113,kavieng,-2.5744,150.7967,26.93,77,100,1.21,PG,1676232637
114,saint-philippe,-21.3585,55.7679,24.77,82,100,5.33,RE,1676232637
115,landau,49.2075,8.1133,7.01,83,0,2.85,DE,1676232638
116,balgazyn,51.0,95.2,-20.17,96,100,0.82,RU,1676232639
117,garissa,-0.4536,39.6401,25.5,60,22,7.44,KE,1676232533
118,carnarvon,-24.8667,113.6333,25.38,66,0,9.67,AU,1676232555
119,gambela,8.25,34.5833,31.44,24,33,1.05,ET,1676232640
120,coleraine,55.1333,-6.6667,8.07,70,93,4.67,GB,1676232640
121,yellowknife,62.456,-114.3525,-18.58,84,75,1.03,CA,1676232363
122,bilibino,68.0546,166.4372,-35.1,99,79,1.88,RU,1676232642
123,port elizabeth,-33.918,25.5701,23.39,88,40,6.17,ZA,1676232642
124,ahipara,-35.1667,173.1667,18.94,94,100,9.79,NZ,1676232510
125,san ramon,37.7799,-121.978,17.56,50,0,3.09,US,1676232428
126,birjand,32.8663,59.2211,9.29,49,100,3.72,IR,1676232645
127,paamiut,61.994,-49.6678,-18.81,89,8,6.75,GL,1676232645
128,zhezkazgan,47.8043,67.7144,-18.15,100,100,1.29,KZ,1676232588
129,lorengau,-2.0226,147.2712,27.3,81,100,3.48,PG,1676232646
130,pontianak,-0.0333,109.3333,22.99,100,75,0.51,ID,1676232647
131,sunland park,31.7965,-106.58,18.05,19,0,3.09,US,1676232368
132,lelystad,52.5083,5.475,7.79,82,0,1.37,NL,1676232647
133,te anau,-45.4167,167.7167,13.9,82,50,0.26,NZ,1676232648
134,ponta do sol,32.6667,-17.1,17.35,77,78,2.57,PT,1676232648
135,comodoro rivadavia,-45.8667,-67.5,19.92,22,0,7.2,AR,1676232373
136,millau,44.0833,2.9167,8.07,62,0,1.99,FR,1676232649
137,abalak,58.1286,68.5944,-17.24,98,92,2.63,RU,1676232650
138,sabang,5.8933,95.3214,26.84,79,88,2.7,ID,1676232650
139,buluang,13.3068,123.3425,22.09,95,34,1.32,PH,1676232651
140,aksu,41.1231,80.2644,-2.07,56,7,2.22,CN,1676232651
141,naryan-mar,67.6713,53.087,-10.14,93,88,6.22,RU,1676232652
142,rantepao,-2.9701,119.8978,19.65,93,100,1.64,ID,1676232652
143,kenmare,51.8833,-9.5833,9.48,74,98,5.07,IE,1676232653
144,gazanjyk,39.2446,55.5154,2.25,51,100,2.93,TM,1676232622
145,pacifica,37.6138,-122.4869,18.28,76,40,5.14,US,1676232654
146,singaraja,-8.112,115.0882,25.88,85,100,4.4,ID,1676232654
147,saint-pierre,-21.3393,55.4781,24.82,73,0,2.06,RE,1676232594
148,tabou,4.423,-7.3528,26.78,84,6,2.68,CI,1676232499
149,baijiantan,45.6333,85.1833,-13.52,92,14,1.33,CN,1676232655
150,neiafu,-18.65,-173.9833,26.38,94,75,4.63,TO,1676232655
151,sinaloa,25.0,-107.5,26.17,39,100,1.79,MX,1676232627
152,nuuk,64.1835,-51.7216,-15.66,78,20,10.29,GL,1676232632
153,saint george,37.1041,-113.5841,14.68,28,0,1.79,US,1676232656
154,hakkari,37.5833,44.1667,-18.12,92,100,0.51,TR,1676232657
155,portland,45.5234,-122.6762,12.31,81,100,0.89,US,1676232309
156,pochutla,15.7432,-96.4661,29.9,40,0,3.88,MX,1676232657
157,lavrentiya,65.5833,-171.0,-27.46,90,100,2.68,RU,1676232552
158,batemans bay,-35.7167,150.1833,18.39,85,100,3.07,AU,1676232658
159,atambua,-9.1061,124.8925,22.62,91,100,1.44,ID,1676232658
160,aklavik,68.2191,-135.0107,-32.37,96,100,0.12,CA,1676232659
161,neuquen,-38.9516,-68.0591,31.67,15,92,12.61,AR,1676232531
162,saint-georges,12.0564,-61.7485,25.19,76,39,8.48,GD,1676232660
163,axim,4.8699,-2.2405,27.02,86,8,3.07,GH,1676232660
164,kloulklubed,7.0419,134.2556,25.28,79,79,6.61,PW,1676232530
